Gesture Number,Duration (s),Timestamp,Severity Level
15,0.089505,05-11-2025 20:15,1
16,0.059948,05-11-2025 20:15,1
17,0.094314,05-11-2025 20:15,1
1,0.056756,05-11-2025 20:15,1
2,0.02942,05-11-2025 20:15,1
3,0.059149,05-11-2025 20:15,1
4,0.058125,05-11-2025 20:15,1
5,0.067941,05-11-2025 20:15,1
6,0.08819,05-11-2025 20:15,1
7,0.058528,05-11-2025 20:15,1
8,0.05686,05-11-2025 20:15,1
9,0.057605,05-11-2025 20:15,1
10,0.028693,05-11-2025 20:15,1
11,0.088053,05-11-2025 20:15,1
12,0.058095,05-11-2025 20:15,1
13,0.057693,05-11-2025 20:15,1
14,0.05861,05-11-2025 20:15,1
1,0.515718,05-11-2025 20:16,1
2,0.114764,05-11-2025 20:16,1
3,0.117918,05-11-2025 20:16,1
4,0.121699,05-11-2025 20:16,1
5,0.124245,05-11-2025 20:16,1
6,0.11266,05-11-2025 20:16,1
7,0.115867,05-11-2025 20:16,1
8,0.114055,05-11-2025 20:16,1
9,0.085237,05-11-2025 20:16,1
10,0.120034,05-11-2025 20:16,1
11,0.086865,05-11-2025 20:16,1
12,0.114716,05-11-2025 20:16,1
13,0.115235,05-11-2025 20:16,1
14,0.085595,05-11-2025 20:16,1
15,0.058076,05-11-2025 20:16,1
1,0.472701,05-11-2025 20:16,0
2,0.1565,05-11-2025 20:16,0
3,0.115897,05-11-2025 20:16,0
4,0.117891,05-11-2025 20:16,0
5,0.113401,05-11-2025 20:16,0
6,0.125848,05-11-2025 20:16,0
7,0.115756,05-11-2025 20:16,0
8,0.117407,05-11-2025 20:16,0
9,0.113508,05-11-2025 20:16,0
10,0.085254,05-11-2025 20:16,0
11,0.084711,05-11-2025 20:16,0
12,0.111969,05-11-2025 20:16,0
13,0.092563,05-11-2025 20:16,0
14,0.085512,05-11-2025 20:16,0
15,0.084473,05-11-2025 20:16,0
1,0.578615,05-11-2025 20:18,0
2,0.029068,05-11-2025 20:18,0
3,0.029049,05-11-2025 20:18,0
4,0.028872,05-11-2025 20:18,0
5,0.029817,05-11-2025 20:18,0
6,0.058608,05-11-2025 20:18,0
7,0.028575,05-11-2025 20:18,0
8,0.028889,05-11-2025 20:18,0
1,0.067768,05-11-2025 20:18,0
2,0.033304,05-11-2025 20:18,0
3,0.094004,05-11-2025 20:18,0
4,0.03787,05-11-2025 20:18,0
5,0.066351,05-11-2025 20:18,0
6,0.03797,05-11-2025 20:18,0
7,0.061399,05-11-2025 20:18,0
8,0.068132,05-11-2025 20:18,0
9,0.02817,05-11-2025 20:18,0
10,0.030055,05-11-2025 20:18,0
11,0.02845,05-11-2025 20:18,0
12,0.029085,05-11-2025 20:18,0
13,0.028481,05-11-2025 20:18,0
1,0.152891,05-11-2025 20:19,0
2,0.121373,05-11-2025 20:19,0
3,0.114734,05-11-2025 20:19,0
4,0.11533,05-11-2025 20:19,0
5,0.116204,05-11-2025 20:19,0
6,0.097415,05-11-2025 20:19,0
7,0.122306,05-11-2025 20:19,0
8,0.114697,05-11-2025 20:19,0
9,0.085738,05-11-2025 20:19,0
10,0.086987,05-11-2025 20:19,0
11,0.114601,05-11-2025 20:19,0
12,0.086215,05-11-2025 20:19,0
13,0.096411,05-11-2025 20:19,0
14,0.087319,05-11-2025 20:19,0
15,0.08734,05-11-2025 20:19,0
16,0.085909,05-11-2025 20:19,0
17,0.114406,05-11-2025 20:19,0
1,0.149759,05-11-2025 20:19,1
2,0.118161,05-11-2025 20:19,1
3,0.064436,05-11-2025 20:19,1
4,0.095891,05-11-2025 20:19,1
5,0.085627,05-11-2025 20:19,1
6,0.059726,05-11-2025 20:19,1
7,0.089017,05-11-2025 20:19,1
8,0.085008,05-11-2025 20:19,1
9,0.085763,05-11-2025 20:19,1
10,0.085825,05-11-2025 20:19,1
11,0.090823,05-11-2025 20:19,1
12,0.058466,05-11-2025 20:19,1
13,0.057126,05-11-2025 20:19,1
14,0.086721,05-11-2025 20:19,1
15,0.091585,05-11-2025 20:19,1
16,0.087115,05-11-2025 20:19,1
17,0.057557,05-11-2025 20:19,1
18,0.087653,05-11-2025 20:19,1
19,0.08819,05-11-2025 20:19,1
1,0.057818,05-11-2025 20:20,0
2,0.056945,05-11-2025 20:20,0
3,0.086032,05-11-2025 20:20,0
4,0.087332,05-11-2025 20:20,0
5,0.085151,05-11-2025 20:20,0
6,0.085838,05-11-2025 20:20,0
7,0.087035,05-11-2025 20:20,0
8,0.087689,05-11-2025 20:20,0
9,0.086212,05-11-2025 20:20,0
10,0.056694,05-11-2025 20:20,0
11,0.087021,05-11-2025 20:20,0
12,0.087431,05-11-2025 20:20,0
13,0.058872,05-11-2025 20:20,0
14,0.086796,05-11-2025 20:20,0
1,0.103522,05-11-2025 20:20,1
2,0.056473,05-11-2025 20:20,1
3,0.057489,05-11-2025 20:20,1
4,0.063797,05-11-2025 20:20,1
5,0.057816,05-11-2025 20:20,1
6,0.057888,05-11-2025 20:20,1
7,0.057872,05-11-2025 20:20,1
8,0.057684,05-11-2025 20:20,1
9,0.057673,05-11-2025 20:20,1
10,0.097626,05-11-2025 20:20,1
11,0.09065,05-11-2025 20:20,1
12,0.056807,05-11-2025 20:20,1
13,0.090686,05-11-2025 20:20,1
14,0.05965,05-11-2025 20:20,1
15,0.093839,05-11-2025 20:20,1
16,0.057143,05-11-2025 20:20,1
17,0.095056,05-11-2025 20:20,1
1,0.067217,05-11-2025 20:21,1
2,0.029743,05-11-2025 20:21,1
3,0.09862,05-11-2025 20:21,1
4,0.038453,05-11-2025 20:21,1
5,0.070412,05-11-2025 20:21,1
6,0.039204,05-11-2025 20:21,1
7,0.055656,05-11-2025 20:21,1
8,0.079015,05-11-2025 20:21,1
9,0.029176,05-11-2025 20:21,1
10,0.029319,05-11-2025 20:21,1
11,0.02974,05-11-2025 20:21,1
12,0.029257,05-11-2025 20:21,1
13,0.029311,05-11-2025 20:21,1
1,0.058501,05-11-2025 20:22,0
2,0.058616,05-11-2025 20:22,0
3,0.086751,05-11-2025 20:22,0
4,0.057215,05-11-2025 20:22,0
5,0.114197,05-11-2025 20:22,0
6,0.059488,05-11-2025 20:22,0
7,0.086167,05-11-2025 20:22,0
8,0.05642,05-11-2025 20:22,0
9,0.11411,05-11-2025 20:22,0
10,0.086338,05-11-2025 20:22,0
11,0.0857,05-11-2025 20:22,0
12,0.115053,05-11-2025 20:22,0
13,0.057606,05-11-2025 20:22,0
14,0.088514,05-11-2025 20:22,0
15,0.143356,05-11-2025 20:22,0
1,0.13995,05-11-2025 20:22,0
